sha256,size_bytes,count,duplicate_waste_bytes,paths
e81ff1d320e8816ef15c94461c2892cb34a426095903ecd01b9ed1e91ec13f1e,218,2,218,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/strip-filename.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/strip-filename.d.mts.map
93515fa80b2295b33e3e38c3f835f1f602e1a1899b2cfa4215f11600478379c2,103,3,206,desktop/frontend/node_modules/zustand/esm/shallow.d.mts | desktop/frontend/node_modules/zustand/esm/shallow.mjs | desktop/frontend/node_modules/zustand/shallow.d.ts
0cf62ae5406e942c2ec4d1c93c0388cebbbdc01812eb2fc69fd3f8a5fc328ed1,186,2,186,desktop/frontend/node_modules/tailwindcss/dist/flatten-color-palette.d.mts | desktop/frontend/node_modules/tailwindcss/dist/flatten-color-palette.d.ts
0662a451f0584bb3026340c3661c3a89774182976cd373eca502a1d3b5c7b580,64,3,128,desktop/frontend/node_modules/zustand/esm/index.d.mts | desktop/frontend/node_modules/zustand/esm/index.mjs | desktop/frontend/node_modules/zustand/index.d.ts
9f49b8064f63b7b3275a8247692967da2458734ea9afcf5ffd86b5c177674740,118,2,118,desktop/frontend/node_modules/react-router-dom/dist/index.d.mts | desktop/frontend/node_modules/react-router-dom/dist/index.d.ts
2f9b8c4bee9312538f388b49c13987f4565ac25d6756fabdbbb771d339945e3e,99,2,99,desktop/frontend/node_modules/nanoid/non-secure/package.json | desktop/frontend/node_modules/nanoid/url-alphabet/package.json
def92bfa5e49073b41cf25a207b2633904cf23c872b82ecbeffe7372bec2a64a,89,2,89,desktop/frontend/node_modules/@types/react-dom/server.browser.d.ts | desktop/frontend/node_modules/@types/react-dom/server.bun.d.ts
4781142e27cfd19d75a2c0ee432826153fcdf670bdc52631a6078330c9133e6f,86,2,86,desktop/frontend/node_modules/zustand/esm/react/shallow.d.mts | desktop/frontend/node_modules/zustand/react/shallow.d.ts
375700e065dd9948ca1ebb6793f62c18890f37bcb42ab757d73df6623dd903d9,67,2,67,desktop/frontend/node_modules/zustand/esm/vanilla/shallow.d.mts | desktop/frontend/node_modules/zustand/vanilla/shallow.d.ts
cfd56edc3114bba2535a44088880b3d6f8c7b50050ed512e356265ead53684c3,41,2,41,enterprise/templates/vercel-relay/.git/refs/heads/main | enterprise/templates/vercel-relay/.git/shallow
4f1bad288ada6326583a3e6a0a54d7627a03eac3b668adeea9dded12ac5656b8,11,2,11,desktop/frontend/node_modules/rolldown/dist/cli.d.mts | desktop/frontend/node_modules/rolldown/dist/parallel-plugin-worker.d.mts
