donor,path,file_sha256,language,symbol
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_unknown_opcode_stays_numeric_and_round_trips
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_hardware_type_labels_known_source_backed_codepoints
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_hardware_type_unknown_values_stay_raw_and_unlabeled
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_hardware_type_label_reexported_through_prelude
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_protocol_type_label_known_source_backed_codepoint
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_protocol_type_unknown_values_stay_raw_and_unlabeled
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_protocol_type_label_reexported_through_prelude
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_raw_address_builders_fill_lengths_from_byte_count
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_raw_address_builders_honor_explicit_length_override
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_raw_address_builders_accept_zero_length_addresses
