wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes
234,mitmproxy2swagger,specs.yml,1,1,0,36531
234,mitmproxy2swagger,testdata/form_data_flows,1,0,0,9649
234,mitmproxy2swagger,testdata/form_data_har.har,1,0,0,1152
234,mitmproxy2swagger,testdata/generic_keys_flows,1,0,0,3305
234,mitmproxy2swagger,testdata/generic_keys_testclient.py,1,1,0,1078
234,mitmproxy2swagger,testdata/generic_keys_testserver.py,1,1,0,794
234,mitmproxy2swagger,testdata/headers_and_params_har.har,1,0,0,1040
234,mitmproxy2swagger,testdata/msgpack_flows,1,0,0,2105
234,mitmproxy2swagger,testdata/msgpack_testclient.py,1,1,0,261
234,mitmproxy2swagger,testdata/msgpack_testserver.py,1,1,0,469
234,mitmproxy2swagger,testdata/sklep.lisek.app.har,1,0,0,17979843
234,mitmproxy2swagger,testdata/test_flows,1,1,0,37930
234,mitmproxy2swagger,testdata/testclient.py,1,1,0,659
234,mitmproxy2swagger,testdata/testserver.py,1,1,0,1280
234,mitmproxy2swagger,uv.lock,1,0,0,297209
234,outline_apps,.browserslistrc,1,0,0,416
234,outline_apps,.eslintignore,1,0,0,42
234,outline_apps,.eslintrc.json,1,1,0,4372
234,outline_apps,.gitattributes,1,0,0,329
234,outline_apps,.github/CODEOWNERS,1,0,0,133
234,outline_apps,.github/ISSUE_TEMPLATE,3,3,0,6654
234,outline_apps,.github/scripts,1,0,0,4052
234,outline_apps,.github/workflows,7,7,0,25776
234,outline_apps,.gitignore,1,0,0,280
234,outline_apps,.java-version,1,0,0,3
234,outline_apps,.npmrc,1,0,0,93
234,outline_apps,.nvmrc,1,0,0,3
234,outline_apps,.prettierignore,1,0,0,67
234,outline_apps,.prettierrc.js,1,1,0,663
234,outline_apps,.storybook/main.js,1,1,0,1425
234,outline_apps,.storybook/preview-head.html,1,1,1,1027
234,outline_apps,.storybook/preview.js,1,1,0,979
234,outline_apps,.vscode/extensions.json,1,1,0,149
234,outline_apps,.vscode/settings.json,1,1,0,376
234,outline_apps,AGENTS.md,1,0,0,3347
234,outline_apps,CLAUDE.md,1,0,0,50
234,outline_apps,CONTRIBUTING.md,1,0,0,1309
234,outline_apps,LICENSE,1,0,0,11357
234,outline_apps,README.md,1,0,0,2308
234,outline_apps,Taskfile.yml,1,1,0,1110
234,outline_apps,client/.gitignore,1,0,0,234
234,outline_apps,client/AGENTS.md,1,0,0,3209
234,outline_apps,client/README.md,1,0,0,3408
234,outline_apps,client/Taskfile.yml,1,1,0,958
234,outline_apps,client/build,5,0,0,8550
234,outline_apps,client/capacitor,17,13,1,30248
234,outline_apps,client/config.md,1,0,0,12225
234,outline_apps,client/config.xml,1,1,0,6174
234,outline_apps,client/electron,60,28,0,1078254
234,outline_apps,client/go,76,73,0,312217
234,outline_apps,client/package.json,1,1,0,5019
234,outline_apps,client/resources,42,1,0,511775
234,outline_apps,client/src,217,117,0,549904
234,outline_apps,client/tsconfig.json,1,1,0,564
234,outline_apps,client/web,174,152,45,2261209
234,outline_apps,codecov.yml,1,1,0,829
234,outline_apps,commitlint.config.js,1,1,0,1344
234,outline_apps,docs/invitation-instructions.md,1,0,0,70
234,outline_apps,docs/invitation_instructions.md,1,0,0,1599
234,outline_apps,docs/life_of_a_packet.md,1,0,0,417
234,outline_apps,docs/resources,5,0,0,194772
