donor,path,sha256,symbol,line,signature,language,symbol_id,semantic_record_ids,resolution
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,when,72,when (sort) {,Kotlin,S7-SYM-00073,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,DeskPanel,92,"DeskPanel(""LIVE RESULTS"", ""${green.size} green endpoints"") {",Kotlin,S7-SYM-00074,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,Row,112,Row(horizontalArrangement = Arrangement.spacedBy(7.dp)) {,Kotlin,S7-SYM-00075,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,Row,139,Row(horizontalArrangement = Arrangement.spacedBy(8.dp)) {,Kotlin,S7-SYM-00076,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,if,174,if (uiState.isRunning) {,Kotlin,S7-SYM-00077,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,if,180,if (phase1Rows.isEmpty()) {,Kotlin,S7-SYM-00078,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,items,184,"items(phase1Rows, key = { ""p1-${it.ip}:${it.port}"" }) { result ->",Kotlin,S7-SYM-00079,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,Phase1ResultCard,185,Phase1ResultCard(result) {,Kotlin,S7-SYM-00080,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,if,191,if (speedRows.isNotEmpty()) {,Kotlin,S7-SYM-00081,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ResultsScreen.kt,784b7cbcea1c1cbcd912087cf7968588fb75bebc41c0550c0e6ebc812591be19,items,196,"items(speedRows, key = { ""p2-${it.ip}:${it.port}"" }) { result ->",Kotlin,S7-SYM-00082,S7-042,resolved-by-seventh-order-ledger
